Train Number,Train Name,Train Source Stn,Source Dep. Time,Train Destination Stn,Dest. Arr. Time

00816,NDLS BBS PREMIUM,NEW DELHI      ,13:00,BHUBANESWAR    ,11:05
01086,LTT DUBLE DECKER,MADGAON        ,15:30,LOKMANYATILAK T,04:10
01447,SHAKTIPUNJ EXP  ,JABALPUR       ,00:30,HOWRAH JN      ,04:15
02016,GKP LTT PREMIUM ,GORAKHPUR JN   ,08:25,LOKMANYATILAK T,11:50
02018,GKP LTT PREMIUM ,GORAKHPUR JN   ,08:25,LOKMANYATILAK T,11:50
02048,GKP LTT PREMIUM ,GORAKHPUR JN   ,00:30,LOKMANYATILAK T,08:15
02049,LTT DBG PREMIUM ,LOKMANYATILAK T,07:50,DARBHANGA JN   ,16:45
02070,BSB LTT PREMIUM ,VARANASI JN    ,06:00,LOKMANYATILAK T,08:15
02110,NZM LTT AC SUP  ,H NIZAMUDDIN   ,15:50,LOKMANYATILAK T,11:50
02132,BSB LTT PREMIUM ,VARANASI JN    ,09:45,LOKMANYATILAK T,11:50
02183,BPL REWA SUP SP ,BHOPAL  JN     ,10:20,REWA           ,20:30
02258,ANVT SRC INGRL  ,ANAND VIHAR TRM,10:50,SANTRAGACHI JN ,14:00
02451,CNB JAT PREMIUM ,KANPUR CENTRAL ,20:20,JAMMU TAWI     ,13:40
02452,JAT CNB PREMIUM ,JAMMU TAWI     ,16:50,KANPUR CENTRAL ,09:40
02529,GKP UHP PREMIUM ,GORAKHPUR JN   ,20:55,UDHAMPUR       ,21:30
02530,UHP GKP PREMIUM ,UDHAMPUR       ,23:45,GORAKHPUR JN   ,23:20
02581,MUV NDLS INGU   ,MANDUADIH      ,10:00,NEW DELHI      ,23:45
02584,LJN DOUBLE DCKER,ANAND VIHAR TRM,14:00,LUCKNOW NE     ,22:55
02663,ADI HBJ PREMIUM ,AHMEDABAD JN   ,17:30,HABIBGANJ      ,05:00
02664,HBJ ADI PREMIUM ,HABIBGANJ      ,22:20,AHMEDABAD JN   ,09:15
02678,BANGALORE EXP   ,ERNAKULAM JN   ,09:15,KSR BENGALURU  ,21:10
02680,SVDK YPR INAUGUR,SHMATA VD KATRA,06:30,YESVANTPUR JN  ,15:00
02682,BSB MYS PREMIUM ,VARANASI JN    ,21:50,MYSURU JN      ,16:45
02692,BKN YPR PREMIUM ,BIKANER JN     ,18:00,YESVANTPUR JN  ,11:50
02696,JP YPR PREMIUM  ,JAIPUR         ,22:15,YESVANTPUR JN  ,17:55
02702,CSTM SC PREMIUM ,MUMBAI CST     ,13:30,SECUNDERABAD JN,03:30
02731,TPTY SC EXP     ,TIRUPATI       ,16:40,SECUNDERABAD JN,07:05
02732,SC TPTY  EXP    ,SECUNDERABAD JN,20:05,TIRUPATI       ,10:35
02779,VSG SBC LINK EXP,VASCO DA GAMA  ,15:10,KSR BENGALURU  ,07:00
02901,UDZ SUPER FAST  ,BANDRA TERMINUS,12:25,UDAIPUR CITY   ,05:15
02907,MAO  HAPA EXP   ,MADGAON        ,07:15,HAPA           ,10:20
02908,HAPA MADGAON EXP,HAPA           ,16:10,MADGAON        ,21:35
02915,BDTS HSR SF EXP ,BANDRA TERMINUS,11:30,HISAR          ,16:40
02916,HSR BDTS EXP    ,HISAR          ,19:00,BANDRA TERMINUS,22:25
02932,BCT DOUBLEDECKER,AHMEDABAD JN   ,16:30,MUMBAI CENTRAL ,00:30
02941,INDB JAMMU T EXP,INDORE JN BG   ,21:00,JAMMU TAWI     ,01:20
03238,KOTA PNBE EXP   ,KOTA JN        ,15:25,PATNA JN       ,17:20
03240,KOTA PNBE EXP   ,KOTA JN        ,15:25,PATNA JN       ,17:20
04014,NZM PUNE PREMIUM,H NIZAMUDDIN   ,15:50,PUNE JN        ,13:15
04022,NDLS BJU PREMIUM,NEW DELHI      ,19:30,BARAUNI JN     ,18:00
04031,DLI UMB EXP     ,DELHI          ,06:10,AMBALA CANT JN ,10:40
04098,NDLS BCT AC SUP ,NEW DELHI      ,23:40,MUMBAI CENTRAL ,21:15
04112,GWL LTT EXP     ,GWALIOR        ,15:00,LOKMANYATILAK T,12:05
04127,ALD LTT PREMIUM ,ALLAHABAD JN   ,19:30,LOKMANYATILAK T,14:50
04128,LTT ALD PREMIUM ,LOKMANYATILAK T,17:25,ALLAHABAD JN   ,12:25
04131,ALD JAT PREMIUM ,ALLAHABAD JN   ,14:50,JAMMU TAWI     ,10:45
04132,JAT ALD PREMIUM ,JAMMU TAWI     ,13:00,ALLAHABAD JN   ,10:00
04143,CNB BDTS INGRL  ,KANPUR CENTRAL ,17:15,BANDRA TERMINUS,23:05
04231,LKO CDG EXPRESS ,LUCKNOW NR     ,22:30,CHANDIGARH     ,11:30
04408,DLI DBG SUVIDHA ,DELHI          ,11:15,DARBHANGA JN   ,09:00
04412,SVDK DLI SUVIDHA,SHMATA VD KATRA,20:15,DELHI          ,10:15
04430,NZM MAO PREMIUM ,H NIZAMUDDIN   ,21:35,MADGAON        ,06:00
04435,ALD ANVT SUVIDHA,ALLAHABAD JN   ,19:00,ANAND VIHAR TRM,06:20
04436,ANVT ALD SUVIDHA,ANAND VIHAR TRM,22:30,ALLAHABAD JN   ,08:40
04823,JU YPR PREMIUM  ,JODHPUR JN     ,14:35,YESVANTPUR JN  ,04:00
04935,LKO NDLS PREMIUM,LUCKNOW NR     ,21:30,NEW DELHI      ,06:20
04943,LKO NDLS PREMIUM,LUCKNOW NR     ,20:15,NEW DELHI      ,05:00
04944,NDLS LKO PREMIUM,NEW DELHI      ,19:25,LUCKNOW NR     ,04:10
05025,MAU ANVT INAUGRL,MAU JN         ,12:00,ANAND VIHAR TRM,08:45
05032,GKP PREMIUM     ,ANAND VIHAR TRM,07:00,GORAKHPUR JN   ,21:55
05037,LJN KGM PREMIUM ,LUCKNOW NE     ,05:15,KATHGODAM      ,12:55
05043,LJN KGM INAUGRAL,LUCKNOW NE     ,11:00,KATHGODAM      ,17:40
05044,KGM LJN INAUGRAL,KATHGODAM      ,18:55,LUCKNOW NE     ,01:35
05051,GKP ANVT INAUGR ,GORAKHPUR JN   ,10:32,ANAND VIHAR TRM,00:15
05052,ANVT GKP INAUG  ,ANAND VIHAR TRM,02:15,GORAKHPUR JN   ,16:30
05053,CPR LJN INAUGRL ,CHHAPRA        ,03:05,LUCKNOW NE     ,18:30
05054,LJN CPR INAUGRL ,LUCKNOW NE     ,10:00,CHHAPRA        ,01:05
05117,MUV JBP INAUGURL,MANDUADIH      ,11:30,JABALPUR       ,21:30
06162,KCVL SUVIDHA EX ,MUMBAI CST     ,16:40,KOCHUVELI      ,00:30
06227,SHIMOGA EXPRESS ,KSR BENGALURU  ,23:40,SHIVAMOGGA TOWN,06:15
06228,MYSORE EXP      ,TALGUPPA       ,20:15,MYSURU JN      ,07:00
06313,NZM TVC PREMIUM ,H NIZAMUDDIN   ,23:50,TRIVANDRUM CNTL,00:20
06512,JP YPR EXP      ,JAIPUR         ,15:30,YESVANTPUR JN  ,15:10
06948,UBL VSG LINK EXP,HUBBALLI JN    ,23:00,VASCO DA GAMA  ,06:30
07017,ADI SC PREMIUM  ,AHMEDABAD JN   ,17:15,SECUNDERABAD JN,14:45
07144,KOP HYDERABAD SP,C SHAHUMHARAJ T,07:30,HYDERABAD DECAN,06:45
07151,KZJ NED EXP     ,KAZIPET JN     ,20:30,H SAHIB NANDED ,04:00
07301,TALGUPPA EXP    ,MYSURU JN      ,22:30,TALGUPPA       ,07:15
08422,AII PURI EXP    ,AJMER JN       ,16:00,PURI           ,18:45
08513,CNB ASR INAUGR  ,KANPUR CENTRAL ,13:55,AMRITSAR JN    ,09:30
09015,GKP SUVIDHA     ,BANDRA TERMINUS,05:10,GORAKHPUR JN   ,14:40
09016,GKP BDTS SUVIDHA,GORAKHPUR JN   ,07:00,BANDRA TERMINUS,17:35
09043,JODHPUR PREMIUM ,BANDRA TERMINUS,23:55,JODHPUR JN     ,16:20
09044,JU  BDTS PREMIUM,JODHPUR JN     ,11:20,BANDRA TERMINUS,04:15
09051,ST CPR PREMIUM  ,SURAT          ,06:10,CHHAPRA        ,10:50
09055,ST PNBE PREMIUM ,SURAT          ,06:10,PATNA JN       ,10:40
09061,BDTS RMR EXP    ,BANDRA TERMINUS,11:00,RAMNAGAR       ,02:30
09062,RMR BDTS EXP    ,RAMNAGAR       ,06:20,BANDRA TERMINUS,23:59
09063,SURAT DANAPUR SP,SURAT          ,15:30,DANAPUR        ,22:00
09262,KOCHUVELI EXP   ,PORBANDAR      ,09:30,KOCHUVELI      ,12:00
09401,ADI CNB SF EXP  ,AHMEDABAD JN   ,17:20,KANPUR CENTRAL ,13:30
09420,ADI CHENNAI EXP ,AHMEDABAD JN   ,10:07,CHENNAI CENTRAL,17:05
09421,ADI ALD PREMIUM ,AHMEDABAD JN   ,14:10,ALLAHABAD JN   ,16:40
09422,ALD ADI PREMIUM ,ALLAHABAD JN   ,21:05,AHMEDABAD JN   ,23:55
09426,DEE  ADI PREMIUM,DELHI S ROHILLA,16:15,AHMEDABAD JN   ,07:00
09707,JP LJN EXP      ,JAIPUR         ,21:45,LUCKNOW NE     ,10:25
09710,JSM JP EXP      ,JAISALMER      ,23:05,JAIPUR         ,11:05
09723,JP MDU PREMIUM  ,JAIPUR         ,13:15,MADURAI JN     ,11:25
09727,JP BDTS PREMIUM ,JAIPUR         ,08:30,BANDRA TERMINUS,04:45
09728,BDTS JP PREMIUM ,BANDRA TERMINUS,06:15,JAIPUR         ,01:15
10001,SATPURA EXPRESS ,BALAGHAT JN    ,12:45,JABALPUR       ,19:35
10002,SATPURA EXPRESS ,JABALPUR       ,05:30,BALAGHAT JN    ,12:10
10103,MANDOVI EXPRESS ,MUMBAI CST     ,07:10,MADGAON        ,18:50
10104,MANDOVI EXPRESS ,MADGAON        ,09:15,MUMBAI CST     ,21:40
10111,KONKAN KANYA EX ,MUMBAI CST     ,23:05,MADGAON        ,10:45
10112,KONKAN KANYA EXP,MADGAON        ,18:00,MUMBAI CST     ,05:50
10215,MADGAON ERS EXP ,MADGAON        ,21:30,ERNAKULAM JN   ,10:55
10216,MADGAON EXPRESS ,ERNAKULAM JN   ,13:50,MADGAON        ,03:30
11003,RAJYA RANI EXP  ,DADAR          ,00:05,SAWANTWADI ROAD,11:25
11004,RAJYA RANI EXP  ,SAWANTWADI ROAD,18:10,DADAR          ,06:45
11005,PUDUCHERRY EXP  ,DADAR          ,21:30,PUDUCHERRY     ,07:50
11006,CHALUKYA  EXP   ,PUDUCHERRY     ,20:50,DADAR          ,05:45
11007,DECCAN EXPRESS  ,MUMBAI CST     ,07:00,PUNE JN        ,11:05
11008,DECCAN EXPRESS  ,PUNE JN        ,15:30,MUMBAI CST     ,19:35
11009,SINHAGAD EXP    ,MUMBAI CST     ,14:30,PUNE JN        ,18:40
11010,SINHAGAD EXP    ,PUNE JN        ,06:05,MUMBAI CST     ,09:53
11011,LTT NANDED EXP  ,LOKMANYATILAK T,12:05,H SAHIB NANDED ,04:45
11012,NED LTT EXPRESS ,H SAHIB NANDED ,06:30,LOKMANYATILAK T,23:45
11013,COIMBATORE EXP  ,LOKMANYATILAK T,22:35,COIMBATORE JN  ,07:00
11014,LOKMANYA TT EXP ,COIMBATORE JN  ,08:45,LOKMANYATILAK T,14:30
11015,KUSHINAGAR EXP  ,LOKMANYATILAK T,22:45,GORAKHPUR JN   ,07:10
11016,KUSHINAGAR EXP  ,GORAKHPUR JN   ,19:00,LOKMANYATILAK T,04:20
11017,LTT KARAIKAL EXP,LOKMANYATILAK T,12:05,KARAIKAL       ,18:45
11018,KIK LTT EXPRESS ,KARAIKAL       ,14:00,LOKMANYATILAK T,23:45
11019,KONARK EXPRESS  ,MUMBAI CST     ,15:10,BHUBANESWAR    ,04:25
11020,KONARK EXPRESS  ,BHUBANESWAR    ,15:25,MUMBAI CST     ,03:55
11021,TIRUNELVELI EXP ,DADAR          ,21:30,TIRUNELVELI    ,11:45
11022,CHALUKYA  EXP   ,TIRUNELVELI    ,14:45,DADAR          ,05:45
11023,SAHYADRI EXPRES ,MUMBAI CST     ,17:50,C SHAHUMHARAJ T,06:05
11024,SAHYADRI EXP    ,C SHAHUMHARAJ T,22:50,MUMBAI CST     ,11:50
11025,BSL PUNE EXP    ,BHUSAVAL JN    ,00:25,PUNE JN        ,12:05
11026,PUNE BSL EXP    ,PUNE JN        ,11:45,BHUSAVAL JN    ,21:50
11027,CHENNAI MAIL    ,MUMBAI CST     ,23:45,CHENNAI CENTRAL,04:25
11028,MUMBAI MAIL     ,CHENNAI CENTRAL,22:50,MUMBAI CST     ,03:45
11029,KOYNA EXPRESS   ,MUMBAI CST     ,08:40,C SHAHUMHARAJ T,20:25
11030,KOYNA EXPRESS   ,C SHAHUMHARAJ T,07:55,MUMBAI CST     ,20:05
11031,SUR BIJAPUR EXP ,SOLAPUR JN     ,10:05,VIJAYAPURA     ,12:20
11032,BJP SUR EXP     ,VIJAYAPURA     ,14:50,SOLAPUR JN     ,17:40
11033,DARBHANGA EXP   ,PUNE JN        ,16:15,DARBHANGA JN   ,06:45
11034,DBG PUNE EXP    ,DARBHANGA JN   ,17:00,PUNE JN        ,08:05
11035,SHARAVATHI EXP  ,DADAR          ,21:30,MYSURU JN      ,21:40
11036,SHARAVATI  EXP  ,MYSURU JN      ,06:30,DADAR          ,05:45
11037,PA GORAKHPUR EXP,PUNE JN        ,16:15,GORAKHPUR JN   ,01:20
11038,GKP PUNE EXPRESS,GORAKHPUR JN   ,15:30,PUNE JN        ,04:05
11039,MAHARASHTRA EXP ,C SHAHUMHARAJ T,15:30,GONDIA JN      ,20:15
11040,MAHARASHTRA EXP ,GONDIA JN      ,08:20,C SHAHUMHARAJ T,12:45
